run_id,method,avg_prefix_depth,std_prefix_depth,recon_mse,runtime_sec,token_ratio,eos_rate,halting_accuracy,success_rate,status,failure_reason,selected_k_distribution
run_5,fixed_k_8,8.0,0.0,0.001935161417350173,8.341600187122822e-05,1.0,0.0,0.5826086956521739,,ok,,"{""1"": 0.0, ""2"": 0.0, ""4"": 0.0, ""8"": 1.0}"
run_5,adaptive_halting,5.773913043478261,2.886432639737659,0.002152558881789446,5.81799540668726e-05,0.7217391304347827,1.0,0.9347826086956522,,ok,,"{""1"": 0.0, ""2"": 0.3652173913043478, ""4"": 0.008695652173913044, ""8"": 0.6260869565217392}"
run_6,fixed_k_1,1.0,0.0,0.03070216439664364,0.00010867603123188019,0.125,0.0,0.0,,ok,,"{""1"": 1.0, ""2"": 0.0, ""4"": 0.0, ""8"": 0.0}"
run_6,fixed_k_2,2.0,0.0,0.008443215861916542,9.087997023016214e-05,0.25,0.0,0.3739130434782609,,ok,,"{""1"": 0.0, ""2"": 1.0, ""4"": 0.0, ""8"": 0.0}"
run_6,fixed_k_4,4.0,0.0,0.0038719961885362864,8.886691648513079e-05,0.5,0.0,0.0782608695652174,,ok,,"{""1"": 0.0, ""2"": 0.0, ""4"": 1.0, ""8"": 0.0}"
run_6,fixed_k_8,8.0,0.0,0.0017384482780471444,8.571101352572441e-05,1.0,0.0,0.5478260869565217,,ok,,"{""1"": 0.0, ""2"": 0.0, ""4"": 0.0, ""8"": 1.0}"
run_6,adaptive_halting,5.539130434782609,2.9393491042915967,0.0020072301849722862,6.105308420956135e-05,0.6923913043478261,1.0,0.9217391304347826,,ok,,"{""1"": 0.0, ""2"": 0.4043478260869565, ""4"": 0.008695652173913044, ""8"": 0.5869565217391305}"
run_7,fixed_k_1,1.0,0.0,0.030712172389030457,0.00011050095781683922,0.125,0.0,0.0,,ok,,"{""1"": 1.0, ""2"": 0.0, ""4"": 0.0, ""8"": 0.0}"
run_7,fixed_k_2,2.0,0.0,0.010027051903307438,9.074900299310684e-05,0.25,0.0,0.3565217391304348,,ok,,"{""1"": 0.0, ""2"": 1.0, ""4"": 0.0, ""8"": 0.0}"
run_7,fixed_k_4,4.0,0.0,0.0044238874688744545,8.682499174028635e-05,0.5,0.0,0.04782608695652174,,ok,,"{""1"": 0.0, ""2"": 0.0, ""4"": 1.0, ""8"": 0.0}"
run_7,fixed_k_8,8.0,0.0,0.0018116189166903496,8.538796100765467e-05,1.0,0.0,0.5956521739130435,,ok,,"{""1"": 0.0, ""2"": 0.0, ""4"": 0.0, ""8"": 1.0}"
run_7,adaptive_halting,5.756521739130434,2.903045789894308,0.0020253651309758425,6.060092709958553e-05,0.7195652173913043,1.0,0.9521739130434783,,ok,,"{""1"": 0.0, ""2"": 0.3739130434782609, ""4"": 0.0, ""8"": 0.6260869565217392}"
run_8,fixed_k_1,1.0,0.0,0.02940080314874649,0.00010675599332898855,0.125,0.0,0.0,,ok,,"{""1"": 1.0, ""2"": 0.0, ""4"": 0.0, ""8"": 0.0}"
run_8,fixed_k_2,2.0,0.0,0.008144920691847801,9.015004616230726e-05,0.25,0.0,0.4,,ok,,"{""1"": 0.0, ""2"": 1.0, ""4"": 0.0, ""8"": 0.0}"
run_8,fixed_k_4,4.0,0.0,0.0037578095216304064,8.653197437524796e-05,0.5,0.0,0.06956521739130435,,ok,,"{""1"": 0.0, ""2"": 0.0, ""4"": 1.0, ""8"": 0.0}"
run_8,fixed_k_8,8.0,0.0,0.0016940213972702622,8.576398249715567e-05,1.0,0.0,0.5304347826086957,,ok,,"{""1"": 0.0, ""2"": 0.0, ""4"": 0.0, ""8"": 1.0}"
run_8,adaptive_halting,5.3478260869565215,2.973925756392863,0.0019676019437611103,5.7284021750092506e-05,0.6684782608695652,1.0,0.9347826086956522,,ok,,"{""1"": 0.0, ""2"": 0.4391304347826087, ""4"": 0.004347826086956522, ""8"": 0.5565217391304348}"
run_9,fixed_k_1,1.0,0.0,0.030074382200837135,0.00016786495689302683,0.125,0.0,0.0,,ok,,"{""1"": 1.0, ""2"": 0.0, ""4"": 0.0, ""8"": 0.0}"
run_9,fixed_k_2,2.0,0.0,0.009376867674291134,9.390304330736399e-05,0.25,0.0,0.3347826086956522,,ok,,"{""1"": 0.0, ""2"": 1.0, ""4"": 0.0, ""8"": 0.0}"
run_9,fixed_k_4,4.0,0.0,0.004256749991327524,8.821196388453245e-05,0.5,0.0,0.05652173913043478,,ok,,"{""1"": 0.0, ""2"": 0.0, ""4"": 1.0, ""8"": 0.0}"
run_9,fixed_k_8,8.0,0.0,0.0018130210228264332,8.715898729860783e-05,1.0,0.0,0.6086956521739131,,ok,,"{""1"": 0.0, ""2"": 0.0, ""4"": 0.0, ""8"": 1.0}"
run_9,adaptive_halting,5.843478260869565,2.8729360965299593,0.0020356737077236176,0.0001441779313609004,0.7304347826086957,1.0,0.9478260869565217,,ok,,"{""1"": 0.0, ""2"": 0.3565217391304348, ""4"": 0.004347826086956522, ""8"": 0.6391304347826087}"
