method,avg_K_mean,avg_K_std,recon_mse_mean,recon_mse_std,token_ratio_mean,token_ratio_std,runtime_sec_mean,runtime_sec_std,eos_rate_mean,eos_rate_std,halting_accuracy_mean,halting_accuracy_std,selected_k_distribution
adaptive_halting,5.655652173913044,0.16458460054707447,0.0020993707235902547,9.281948512145124e-05,0.7069565217391305,0.02057307506838431,7.017056923359632e-05,2.511221022532667e-05,1.0,0.0,0.9426086956521738,0.013014460475735444,"{""1"": 0.0, ""2"": 0.3869565217391304, ""4"": 0.005652173913043479, ""8"": 0.6073913043478261}"
fixed_k_1,1.0,0.0,0.030661236494779587,0.0007495762532568435,0.125,0.0,0.00011328168911859394,1.9398234487658172e-05,0.0,0.0,0.0,0.0,"{""1"": 1.0, ""2"": 0.0, ""4"": 0.0, ""8"": 0.0}"
fixed_k_2,2.0,0.0,0.009424366522580385,0.0006844043654857269,0.25,0.0,8.979690028354526e-05,2.879954763544533e-06,0.0,0.0,0.3621739130434783,0.021481077090496743,"{""1"": 0.0, ""2"": 1.0, ""4"": 0.0, ""8"": 0.0}"
fixed_k_4,4.0,0.0,0.0042953893542289736,0.0002628150791403669,0.5,0.0,8.639479056000709e-05,1.9724899475797693e-06,0.0,0.0,0.06086956521739131,0.011503266569846049,"{""1"": 0.0, ""2"": 0.0, ""4"": 1.0, ""8"": 0.0}"
fixed_k_8,8.0,0.0,0.0018606443540193141,0.00010160008492994158,1.0,0.0,8.69364943355322e-05,5.472778491675192e-06,0.0,0.0,0.5769565217391304,0.026162932840574582,"{""1"": 0.0, ""2"": 0.0, ""4"": 0.0, ""8"": 1.0}"
