method,avg_K_mean,avg_K_std,recon_mse_mean,recon_mse_std,token_ratio_mean,token_ratio_std,runtime_sec_mean,runtime_sec_std,eos_rate_mean,eos_rate_std,halting_accuracy_mean,halting_accuracy_std,selected_k_distribution
adaptive_halting,5.679420289855074,0.16475501024413827,0.0020446055219508707,0.00012859423982984275,0.7099275362318842,0.020594376280517284,7.472590077668428e-05,2.8507362942940235e-05,1.0,0.0,0.9385507246376811,0.012128971566903006,"{""1"": 0.0, ""2"": 0.38376811594202903, ""4"": 0.004492753623188406, ""8"": 0.6117391304347826}"
fixed_k_1,1.0,0.0,0.030496970874567826,0.0011246967458218692,0.125,0.0,0.0003123876444684962,0.0008228324509756599,0.0,0.0,0.0,0.0,"{""1"": 1.0, ""2"": 0.0, ""4"": 0.0, ""8"": 0.0}"
fixed_k_2,2.0,0.0,0.009260329355796178,0.0006762419776755559,0.25,0.0,0.00021407012439643344,0.0005157840144745687,0.0,0.0,0.35724637681159427,0.02635331012266467,"{""1"": 0.0, ""2"": 1.0, ""4"": 0.0, ""8"": 0.0}"
fixed_k_4,4.0,0.0,0.004213012095230321,0.00027026558063828686,0.5,0.0,9.606873306135336e-05,3.242265981139195e-05,0.0,0.0,0.06275362318840579,0.010923537499252912,"{""1"": 0.0, ""2"": 0.0, ""4"": 1.0, ""8"": 0.0}"
fixed_k_8,8.0,0.0,0.001807593647390604,0.00013556403154954777,1.0,0.0,0.00012205319944769144,0.00011521552688349277,0.0,0.0,0.58,0.029904279133980128,"{""1"": 0.0, ""2"": 0.0, ""4"": 0.0, ""8"": 1.0}"
oracle_k,5.605507246376812,0.16982860752425483,0.0020374767947942017,0.00012713579185054117,0.7006884057971015,0.021228575940531853,0.00011774213053286075,0.00014338640136356032,0.42000000000000004,0.029904279133980128,1.0,0.0,"{""1"": 0.0, ""2"": 0.35724637681159427, ""4"": 0.06275362318840579, ""8"": 0.58}"
random_k,3.808115942028985,0.1755349491653783,0.011272484095146258,0.0009937771147843825,0.4760144927536231,0.021941868645672286,0.0001675946715598305,8.442108758930007e-05,1.0,0.0,0.2531884057971014,0.020962454308912016,"{""1"": 0.24608695652173915, ""2"": 0.24246376811594203, ""4"": 0.2536231884057971, ""8"": 0.2578260869565217}"
