run_id,method,avg_prefix_depth,std_prefix_depth,recon_mse,runtime_sec,token_ratio,eos_rate,halting_accuracy,success_rate,status,failure_reason,notes,selected_k_distribution
run_3,fixed_k_4,4.0,0.0,0.004485722165554762,8.606095798313618e-05,0.5,0.0,0.05217391304347826,,ok,,,"{""1"": 0.0, ""2"": 0.0, ""4"": 1.0, ""8"": 0.0}"
run_3,fixed_k_8,8.0,0.0,0.0019236452644690871,8.50120559334755e-05,1.0,0.0,0.5608695652173913,,ok,,,"{""1"": 0.0, ""2"": 0.0, ""4"": 0.0, ""8"": 1.0}"
run_3,random_k,3.6695652173913045,2.5900201077964957,0.012237576767802238,0.00024585204664617777,0.45869565217391306,1.0,0.2,,ok,,,"{""1"": 0.24347826086956523, ""2"": 0.25217391304347825, ""4"": 0.2782608695652174, ""8"": 0.22608695652173913}"
run_3,oracle_k,5.469565217391304,2.891732560640494,0.002165968297049403,9.200198110193014e-05,0.683695652173913,0.4391304347826087,1.0,,ok,,,"{""1"": 0.0, ""2"": 0.3869565217391304, ""4"": 0.05217391304347826, ""8"": 0.5608695652173913}"
run_3,adaptive_halting,5.530434782608696,2.9290798054365568,0.0021672826260328293,6.745103746652603e-05,0.691304347826087,1.0,0.9565217391304348,,ok,,,"{""1"": 0.0, ""2"": 0.4, ""4"": 0.017391304347826087, ""8"": 0.5826086956521739}"
run_4,fixed_k_1,1.0,0.0,0.03093179687857628,0.00010522000957280397,0.125,0.0,0.0,,ok,,,"{""1"": 1.0, ""2"": 0.0, ""4"": 0.0, ""8"": 0.0}"
run_4,fixed_k_2,2.0,0.0,0.00986942183226347,8.734897710382938e-05,0.25,0.0,0.3521739130434783,,ok,,,"{""1"": 0.0, ""2"": 1.0, ""4"": 0.0, ""8"": 0.0}"
run_4,fixed_k_4,4.0,0.0,0.004430469125509262,8.515897206962109e-05,0.5,0.0,0.04782608695652174,,ok,,,"{""1"": 0.0, ""2"": 0.0, ""4"": 1.0, ""8"": 0.0}"
run_4,fixed_k_8,8.0,0.0,0.0018437979742884636,8.437898941338062e-05,1.0,0.0,0.6,,ok,,,"{""1"": 0.0, ""2"": 0.0, ""4"": 0.0, ""8"": 1.0}"
run_4,random_k,3.8173913043478263,2.6867876688186008,0.01116351131349802,0.00013758998829871416,0.4771739130434783,1.0,0.25217391304347825,,ok,,,"{""1"": 0.24347826086956523, ""2"": 0.2391304347826087, ""4"": 0.2608695652173913, ""8"": 0.2565217391304348}"
run_4,oracle_k,5.695652173913044,2.851922046143247,0.002072132658213377,8.265103679150343e-05,0.7119565217391305,0.4,1.0,,ok,,,"{""1"": 0.0, ""2"": 0.3521739130434783, ""4"": 0.04782608695652174, ""8"": 0.6}"
run_4,adaptive_halting,5.756521739130434,2.885017683158304,0.0020678944420069456,6.923708133399487e-05,0.7195652173913043,1.0,0.9652173913043478,,ok,,,"{""1"": 0.0, ""2"": 0.3652173913043478, ""4"": 0.013043478260869565, ""8"": 0.6217391304347826}"
