entropy_threshold,success_rate,avg_token_length,eos_rate,early_stop_rate,token_ratio,runtime_sec,eval_dir,checkpoint,selected_k_distribution
0.5,0.0,7.115384615384615,0.17307692307692307,0.17307692307692307,0.8894230769230769,109.15220066800248,results/inference_entropy_sweep/entropy_0_5,/Users/maria/MIPT/AOPT_assignment/adaptive-oat/output/20260429/115809_train_oatpolicy_tinyplus_entropy_train6_5_infer0_1_libero_spatial_tinyplus/checkpoints/latest.ckpt,"{""0"": 0.0, ""1"": 0.038461538461538464, ""2"": 0.019230769230769232, ""3"": 0.07692307692307693, ""4"": 0.0, ""5"": 0.038461538461538464, ""6"": 0.0, ""7"": 0.0, ""8"": 0.8269230769230769}"
1.0,0.0,1.1538461538461537,0.0,1.0,0.14423076923076922,115.66293678001966,results/inference_entropy_sweep/entropy_1_0,/Users/maria/MIPT/AOPT_assignment/adaptive-oat/output/20260429/115809_train_oatpolicy_tinyplus_entropy_train6_5_infer0_1_libero_spatial_tinyplus/checkpoints/latest.ckpt,"{""0"": 0.0, ""1"": 0.8461538461538461, ""2"": 0.15384615384615385, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}"
2.0,0.0,1.0,0.0,1.0,0.125,135.99347976304125,results/inference_entropy_sweep/entropy_2_0,/Users/maria/MIPT/AOPT_assignment/adaptive-oat/output/20260429/115809_train_oatpolicy_tinyplus_entropy_train6_5_infer0_1_libero_spatial_tinyplus/checkpoints/latest.ckpt,"{""0"": 0.0, ""1"": 1.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}"
