method,success_rate,avg_token_length,token_ratio,eos_prediction_rate,early_stop_rate,runtime_sec,num_tasks,episodes_per_task,checkpoint_path,notes
fixed_k_8,0.0,8.0,1.0,0.0,0.0,147.61503382993396,2,2,/Users/maria/MIPT/AOPT_assignment/adaptive-oat/output/20260428/232726_train_oatpolicy_tinyplus_cpu_libero_spatial_tinyplus/checkpoints/latest.ckpt,Tinyplus CPU fixed-K rollout.
adaptive_halting,0.0,1.1538461538461537,0.14423076923076922,1.0,1.0,138.2372665880248,2,2,/Users/maria/MIPT/AOPT_assignment/adaptive-oat/output/20260428/233511_train_oatpolicy_tinyplus_cpu_libero_spatial_tinyplus/checkpoints/latest.ckpt,EOS probability diagnostics are unavailable in the current autoregressive generate() API; length and EOS-rate diagnostics are logged instead.
