method,avg_K,token_ratio,recon_mse
fixed_k_1,1.0,0.125,0.2662596273503198
fixed_k_2,2.0,0.25,0.26627980590069034
fixed_k_4,4.0,0.5,0.2663038404364335
fixed_k_8,8.0,1.0,0.26632648898709205
oracle_k,2.26018675721562,0.2825233446519525,0.26595975790039994
adaptive_predicted_k,1.1538461538461537,0.14423076923076922,0.2662627317426845
