method,checkpoint,success_rate,avg_token_length,token_ratio,runtime_sec,eos_prediction_rate,predicted_k_distribution
fixed_k_8,/Users/maria/MIPT/AOPT_assignment/adaptive-oat/output/20260428/225310_train_oatpolicy_tiny_cpu_libero_spatial_tiny/checkpoints/latest.ckpt,0.0,8.0,1.0,46.4623940680176,0.0,"{""pred_keep_k_0"": 0.0, ""pred_keep_k_1"": 0.0, ""pred_keep_k_2"": 0.0, ""pred_keep_k_3"": 0.0, ""pred_keep_k_4"": 0.0, ""pred_keep_k_5"": 0.0, ""pred_keep_k_6"": 0.0, ""pred_keep_k_7"": 0.0, ""pred_keep_k_8"": 1.0}"
adaptive_halting,/Users/maria/MIPT/AOPT_assignment/adaptive-oat/output/20260428/225555_train_oatpolicy_tiny_cpu_libero_spatial_tiny/checkpoints/latest.ckpt,0.0,8.0,1.0,33.045513372984715,0.0,"{""pred_keep_k_0"": 0.0, ""pred_keep_k_1"": 0.0, ""pred_keep_k_2"": 0.0, ""pred_keep_k_3"": 0.0, ""pred_keep_k_4"": 0.0, ""pred_keep_k_5"": 0.0, ""pred_keep_k_6"": 0.0, ""pred_keep_k_7"": 0.0, ""pred_keep_k_8"": 1.0}"
